current_score,wickets_lost,overs_played,total_overs,innings,run_rate,target,runs_needed,wickets_remaining,required_run_rate,team_won,final_score
126,3,15.0,20,1,8.4,0,0,7,0.0,0,161.0
169,6,20.0,20,1,8.45,0,0,4,0.0,0,169.0
64,0,6.0,20,2,10.67,170,106,10,7.57,1,170.0
106,0,10.0,20,2,10.6,170,64,10,6.4,1,170.0
142,2,15.0,20,2,9.47,170,28,8,5.6,1,170.0
172,2,20.0,20,2,8.6,170,0,8,0.0,1,170.0
49,1,6.0,20,1,8.17,0,0,9,0.0,1,151.0
85,2,10.0,20,1,8.5,0,0,8,0.0,1,159.0
119,5,15.0,20,1,7.93,0,0,5,0.0,1,142.0
178,6,20.0,20,1,8.9,0,0,4,0.0,1,178.0
31,4,6.0,20,2,5.17,179,148,6,10.57,0,179.0
52,5,10.0,20,2,5.2,179,127,5,12.7,0,179.0
101,5,15.0,20,2,6.73,179,78,5,15.6,0,179.0
169,6,20.0,20,2,8.45,179,10,4,0.0,0,179.0
46,1,6.0,20,1,7.67,0,0,9,0.0,1,142.0
80,1,10.0,20,1,8.0,0,0,9,0.0,1,159.0
114,5,15.0,20,1,7.6,0,0,5,0.0,1,136.0
156,8,20.0,20,1,7.8,0,0,2,0.0,1,156.0
33,2,6.0,20,2,5.5,157,124,8,8.86,0,157.0
63,2,10.0,20,2,6.3,157,94,8,9.4,0,157.0
112,2,15.0,20,2,7.47,157,45,8,9.0,0,157.0
153,6,20.0,20,2,7.65,157,4,4,0.0,0,157.0
50,2,6.0,20,1,8.33,0,0,8,0.0,1,143.0
74,2,10.0,20,1,7.4,0,0,8,0.0,1,139.0
112,5,15.0,20,1,7.47,0,0,5,0.0,1,134.0
162,8,20.0,20,1,8.1,0,0,2,0.0,1,162.0
37,2,6.0,20,2,6.17,163,126,8,9.0,0,163.0
81,3,10.0,20,2,8.1,163,82,7,8.2,0,163.0
114,5,15.0,20,2,7.6,163,49,5,9.8,0,163.0
133,10,20.0,20,2,6.65,163,30,0,0.0,0,163.0
38,4,6.0,20,1,6.33,0,0,6,0.0,0,100.0
58,5,10.0,20,1,5.8,0,0,5,0.0,0,100.0
91,7,15.0,20,1,6.07,0,0,3,0.0,0,109.0
109,10,20.0,20,1,5.45,0,0,0,0.0,0,109.0
44,0,6.0,20,2,7.33,110,66,10,4.71,1,110.0
78,0,10.0,20,2,7.8,110,32,10,3.2,1,110.0
110,2,15.0,20,2,7.33,110,0,8,0.0,1,110.0
110,2,20.0,20,2,5.5,110,0,8,0.0,1,110.0
26,3,6.0,20,1,4.33,0,0,7,0.0,0,100.0
51,3,10.0,20,1,5.1,0,0,7,0.0,0,100.0
97,4,15.0,20,1,6.47,0,0,6,0.0,0,120.0
126,10,20.0,20,1,6.3,0,0,0,0.0,0,126.0
52,1,6.0,20,2,8.67,127,75,9,5.36,1,127.0
81,2,10.0,20,2,8.1,127,46,8,4.6,1,127.0
109,4,15.0,20,2,7.27,127,18,6,3.6,1,127.0
127,4,20.0,20,2,6.35,127,0,6,0.0,1,127.0
34,3,6.0,20,1,5.67,0,0,7,0.0,0,100.0
66,4,10.0,20,1,6.6,0,0,6,0.0,0,109.0
86,6,15.0,20,1,5.73,0,0,4,0.0,0,103.0
144,7,20.0,20,1,7.2,0,0,3,0.0,0,144.0
50,1,6.0,20,2,8.33,145,95,9,6.79,1,145.0
78,2,10.0,20,2,7.8,145,67,8,6.7,1,145.0
115,2,15.0,20,2,7.67,145,30,8,6.0,1,145.0
148,3,20.0,20,2,7.4,145,0,7,0.0,1,145.0
48,2,6.0,20,1,8.0,0,0,8,0.0,0,137.0
79,3,10.0,20,1,7.9,0,0,7,0.0,0,139.0
102,7,15.0,20,1,6.8,0,0,3,0.0,0,122.0
103,10,20.0,20,1,5.15,0,0,0,0.0,0,103.0
34,0,6.0,20,2,5.67,104,70,10,5.0,1,104.0
64,1,10.0,20,2,6.4,104,40,9,4.0,1,104.0
102,3,15.0,20,2,6.8,104,2,7,0.4,1,104.0
104,3,20.0,20,2,5.2,104,0,7,0.0,1,104.0
50,2,6.0,20,1,8.33,0,0,8,0.0,0,143.0
83,2,10.0,20,1,8.3,0,0,8,0.0,0,156.0
133,2,15.0,20,1,8.87,0,0,8,0.0,0,175.0
187,5,20.0,20,1,9.35,0,0,5,0.0,0,187.0
62,0,6.0,20,2,10.33,188,126,10,9.0,1,188.0
98,2,10.0,20,2,9.8,188,90,8,9.0,1,188.0
142,4,15.0,20,2,9.47,188,46,6,9.2,1,188.0
188,6,20.0,20,2,9.4,188,0,4,0.0,1,188.0
41,2,6.0,20,1,6.83,0,0,8,0.0,1,117.0
76,4,10.0,20,1,7.6,0,0,6,0.0,1,126.0
115,6,15.0,20,1,7.67,0,0,4,0.0,1,138.0
129,7,20.0,20,1,6.45,0,0,3,0.0,1,129.0
35,2,6.0,20,2,5.83,130,95,8,6.79,0,130.0
53,3,10.0,20,2,5.3,130,77,7,7.7,0,130.0
111,4,15.0,20,2,7.4,130,19,6,3.8,0,130.0
124,4,20.0,20,2,6.2,130,6,6,0.0,0,130.0
50,0,6.0,20,1,8.33,0,0,10,0.0,0,166.0
74,1,10.0,20,1,7.4,0,0,9,0.0,0,147.0
103,4,15.0,20,1,6.87,0,0,6,0.0,0,127.0
140,8,20.0,20,1,7.0,0,0,2,0.0,0,140.0
50,0,6.0,20,2,8.33,141,91,10,6.5,1,141.0
81,0,10.0,20,2,8.1,141,60,10,6.0,1,141.0
129,1,15.0,20,2,8.6,141,12,9,2.4,1,141.0
141,2,20.0,20,2,7.05,141,0,8,0.0,1,141.0
53,2,6.0,20,1,8.83,0,0,8,0.0,1,151.0
85,3,10.0,20,1,8.5,0,0,7,0.0,1,150.0
144,3,15.0,20,1,9.6,0,0,7,0.0,1,184.0
181,4,20.0,20,1,9.05,0,0,6,0.0,1,181.0
35,2,6.0,20,2,5.83,182,147,8,10.5,0,182.0
76,2,10.0,20,2,7.6,182,106,8,10.6,0,182.0
115,6,15.0,20,2,7.67,182,67,4,13.4,0,182.0
163,9,20.0,20,2,8.15,182,19,1,0.0,0,182.0
43,1,6.0,20,1,7.17,0,0,9,0.0,1,133.0
73,1,10.0,20,1,7.3,0,0,9,0.0,1,145.0
118,2,15.0,20,1,7.87,0,0,8,0.0,1,155.0
204,4,20.0,20,1,10.2,0,0,6,0.0,1,204.0
55,3,6.0,20,2,9.17,205,150,7,10.71,0,205.0
74,4,10.0,20,2,7.4,205,131,6,13.1,0,205.0
125,6,15.0,20,2,8.33,205,80,4,16.0,0,205.0
181,7,20.0,20,2,9.05,205,24,3,0.0,0,205.0
47,1,6.0,20,1,7.83,0,0,9,0.0,0,145.0
68,3,10.0,20,1,6.8,0,0,7,0.0,0,120.0
96,5,15.0,20,1,6.4,0,0,5,0.0,0,115.0
156,7,20.0,20,1,7.8,0,0,3,0.0,0,156.0
21,2,6.0,20,2,3.5,157,136,8,9.71,1,157.0
80,2,10.0,20,2,8.0,157,77,8,7.7,1,157.0
120,4,15.0,20,2,8.0,157,37,6,7.4,1,157.0
159,7,20.0,20,2,7.95,157,0,3,0.0,1,157.0
50,3,6.0,20,1,8.33,0,0,7,0.0,0,131.0
74,3,10.0,20,1,7.4,0,0,7,0.0,0,130.0
102,5,15.0,20,1,6.8,0,0,5,0.0,0,122.0
143,8,20.0,20,1,7.15,0,0,2,0.0,0,143.0
42,0,6.0,20,2,7.0,144,102,10,7.29,1,144.0
70,1,10.0,20,2,7.0,144,74,9,7.4,1,144.0
141,1,15.0,20,2,9.4,144,3,9,0.6,1,144.0
144,1,20.0,20,2,7.2,144,0,9,0.0,1,144.0
35,1,6.0,20,1,5.83,0,0,9,0.0,1,108.0
69,2,10.0,20,1,6.9,0,0,8,0.0,1,129.0
95,3,15.0,20,1,6.33,0,0,7,0.0,1,121.0
133,6,20.0,20,1,6.65,0,0,4,0.0,1,133.0
37,4,6.0,20,2,6.17,134,97,6,6.93,0,134.0
64,5,10.0,20,2,6.4,134,70,5,7.0,0,134.0
97,6,15.0,20,2,6.47,134,37,4,7.4,0,134.0
110,10,20.0,20,2,5.5,134,24,0,0.0,0,134.0
28,2,6.0,20,1,4.67,0,0,8,0.0,0,100.0
57,4,10.0,20,1,5.7,0,0,6,0.0,0,100.0
89,4,15.0,20,1,5.93,0,0,6,0.0,0,110.0
156,6,20.0,20,1,7.8,0,0,4,0.0,0,156.0
78,0,6.0,20,2,13.0,157,79,10,5.64,1,157.0
107,1,10.0,20,2,10.7,157,50,9,5.0,1,157.0
158,1,15.0,20,2,10.53,157,0,9,-0.2,1,157.0
158,1,20.0,20,2,7.9,157,0,9,0.0,1,157.0
48,1,6.0,20,1,8.0,0,0,9,0.0,1,148.0
76,1,10.0,20,1,7.6,0,0,9,0.0,1,151.0
138,1,15.0,20,1,9.2,0,0,9,0.0,1,187.0
194,4,20.0,20,1,9.7,0,0,6,0.0,1,194.0
71,1,6.0,20,2,11.83,195,124,9,8.86,0,195.0
84,3,10.0,20,2,8.4,195,111,7,11.1,0,195.0
128,4,15.0,20,2,8.53,195,67,6,13.4,0,195.0
182,9,20.0,20,2,9.1,195,13,1,0.0,0,195.0
27,3,6.0,20,1,4.5,0,0,7,0.0,0,100.0
44,6,10.0,20,1,4.4,0,0,4,0.0,0,100.0
67,9,15.0,20,1,4.47,0,0,1,0.0,0,100.0
67,10,20.0,20,1,3.35,0,0,0,0.0,0,67.0
68,2,6.0,20,2,11.33,68,0,8,0.0,1,68.0
68,2,10.0,20,2,6.8,68,0,8,0.0,1,68.0
68,2,15.0,20,2,4.53,68,0,8,0.0,1,68.0
68,2,20.0,20,2,3.4,68,0,8,0.0,1,68.0
68,0,6.0,20,1,11.33,0,0,10,0.0,0,226.0
115,2,10.0,20,1,11.5,0,0,8,0.0,0,216.0
118,4,15.0,20,1,7.87,0,0,6,0.0,0,146.0
118,4,20.0,20,1,5.9,0,0,6,0.0,0,118.0
73,3,6.0,20,2,12.17,119,46,7,3.29,1,119.0
94,3,10.0,20,2,9.4,119,25,7,2.5,1,119.0
94,3,15.0,20,2,6.27,119,25,7,5.0,1,119.0
94,3,20.0,20,2,4.7,119,25,7,0.0,1,119.0
51,0,6.0,20,1,8.5,0,0,10,0.0,1,170.0
94,0,10.0,20,1,9.4,0,0,10,0.0,1,197.0
143,1,15.0,20,1,9.53,0,0,9,0.0,1,194.0
197,1,20.0,20,1,9.85,0,0,9,0.0,1,197.0
23,3,6.0,20,2,3.83,198,175,7,12.5,0,198.0
38,4,10.0,20,2,3.8,198,160,6,16.0,0,198.0
83,7,15.0,20,2,5.53,198,115,3,23.0,0,198.0
132,9,20.0,20,2,6.6,198,66,1,0.0,0,198.0
57,1,6.0,20,1,9.5,0,0,9,0.0,1,176.0
78,3,10.0,20,1,7.8,0,0,7,0.0,1,138.0
114,4,15.0,20,1,7.6,0,0,6,0.0,1,141.0
178,7,20.0,20,1,8.9,0,0,3,0.0,1,178.0
32,3,6.0,20,2,5.33,179,147,7,10.5,0,179.0
59,4,10.0,20,2,5.9,179,120,6,12.0,0,179.0
106,4,15.0,20,2,7.07,179,73,6,14.6,0,179.0
153,7,20.0,20,2,7.65,179,26,3,0.0,0,179.0
35,2,6.0,20,1,5.83,0,0,8,0.0,0,100.0
61,2,10.0,20,1,6.1,0,0,8,0.0,0,114.0
101,2,15.0,20,1,6.73,0,0,8,0.0,0,133.0
149,5,20.0,20,1,7.45,0,0,5,0.0,0,149.0
43,0,6.0,20,2,7.17,150,107,10,7.64,1,150.0
55,0,10.0,20,2,5.5,150,95,10,9.5,1,150.0
55,0,15.0,20,2,3.67,150,95,10,19.0,1,150.0
55,0,20.0,20,2,2.75,150,95,10,0.0,1,150.0
41,1,6.0,20,1,6.83,0,0,9,0.0,0,127.0
70,2,10.0,20,1,7.0,0,0,8,0.0,0,131.0
102,3,15.0,20,1,6.8,0,0,7,0.0,0,130.0
154,7,20.0,20,1,7.7,0,0,3,0.0,0,154.0
71,0,6.0,20,2,11.83,155,84,10,6.0,1,155.0
105,2,10.0,20,2,10.5,155,50,8,5.0,1,155.0
127,4,15.0,20,2,8.47,155,28,6,5.6,1,155.0
158,5,20.0,20,2,7.9,155,0,5,0.0,1,155.0
32,1,6.0,20,1,5.33,0,0,9,0.0,0,100.0
59,2,10.0,20,1,5.9,0,0,8,0.0,0,110.0
102,4,15.0,20,1,6.8,0,0,6,0.0,0,126.0
147,8,20.0,20,1,7.35,0,0,2,0.0,0,147.0
42,3,6.0,20,2,7.0,148,106,7,7.57,1,148.0
69,4,10.0,20,2,6.9,148,79,6,7.9,1,148.0
128,4,15.0,20,2,8.53,148,20,6,4.0,1,148.0
150,4,20.0,20,2,7.5,148,0,6,0.0,1,148.0
43,1,6.0,20,1,7.17,0,0,9,0.0,1,133.0
84,1,10.0,20,1,8.4,0,0,9,0.0,1,167.0
134,2,15.0,20,1,8.93,0,0,8,0.0,1,176.0
189,4,20.0,20,1,9.45,0,0,6,0.0,1,189.0
68,1,6.0,20,2,11.33,190,122,9,8.71,0,190.0
90,2,10.0,20,2,9.0,190,100,8,10.0,0,190.0
144,3,15.0,20,2,9.6,190,46,7,9.2,0,190.0
188,10,20.0,20,2,9.4,190,2,0,0.0,0,190.0
23,2,6.0,20,1,3.83,0,0,8,0.0,1,100.0
41,4,10.0,20,1,4.1,0,0,6,0.0,1,100.0
76,5,15.0,20,1,5.07,0,0,5,0.0,1,100.0
126,8,20.0,20,1,6.3,0,0,2,0.0,1,126.0
44,0,6.0,20,2,7.33,127,83,10,5.93,0,127.0
61,1,10.0,20,2,6.1,127,66,9,6.6,0,127.0
92,4,15.0,20,2,6.13,127,35,6,7.0,0,127.0
112,8,20.0,20,2,5.6,127,15,2,0.0,0,127.0
42,0,6.0,20,1,7.0,0,0,10,0.0,0,140.0
70,0,10.0,20,1,7.0,0,0,10,0.0,0,147.0
111,2,15.0,20,1,7.4,0,0,8,0.0,0,146.0
175,4,20.0,20,1,8.75,0,0,6,0.0,0,175.0
74,0,6.0,20,2,12.33,176,102,10,7.29,1,176.0
101,1,10.0,20,2,10.1,176,75,9,7.5,1,176.0
135,2,15.0,20,2,9.0,176,41,8,8.2,1,176.0
178,4,20.0,20,2,8.9,176,0,6,0.0,1,176.0
60,0,6.0,20,1,10.0,0,0,10,0.0,0,200.0
81,1,10.0,20,1,8.1,0,0,9,0.0,0,161.0
123,4,15.0,20,1,8.2,0,0,6,0.0,0,152.0
176,8,20.0,20,1,8.8,0,0,2,0.0,0,176.0
56,2,6.0,20,2,9.33,177,121,8,8.64,1,177.0
88,2,10.0,20,2,8.8,177,89,8,8.9,1,177.0
130,5,15.0,20,2,8.67,177,47,5,9.4,1,177.0
179,5,20.0,20,2,8.95,177,0,5,0.0,1,177.0
67,0,6.0,20,1,11.17,0,0,10,0.0,1,223.0
107,0,10.0,20,1,10.7,0,0,10,0.0,1,224.0
167,2,15.0,20,1,11.13,0,0,8,0.0,1,220.0
211,5,20.0,20,1,10.55,0,0,5,0.0,1,211.0
65,1,6.0,20,2,10.83,212,147,9,10.5,0,212.0
99,2,10.0,20,2,9.9,212,113,8,11.3,0,212.0
157,3,15.0,20,2,10.47,212,55,7,11.0,0,212.0
201,7,20.0,20,2,10.05,212,11,3,0.0,0,212.0
41,0,6.0,20,1,6.83,0,0,10,0.0,0,136.0
81,0,10.0,20,1,8.1,0,0,10,0.0,0,170.0
123,4,15.0,20,1,8.2,0,0,6,0.0,0,152.0
165,10,20.0,20,1,8.25,0,0,0,0.0,0,165.0
43,1,6.0,20,2,7.17,166,123,9,8.79,1,166.0
61,2,10.0,20,2,6.1,166,105,8,10.5,1,166.0
106,3,15.0,20,2,7.07,166,60,7,12.0,1,166.0
171,5,20.0,20,2,8.55,166,0,5,0.0,1,166.0
47,1,6.0,20,1,7.83,0,0,9,0.0,0,145.0
82,1,10.0,20,1,8.2,0,0,9,0.0,0,163.0
133,3,15.0,20,1,8.87,0,0,7,0.0,0,170.0
174,6,20.0,20,1,8.7,0,0,4,0.0,0,174.0
51,2,6.0,20,2,8.5,175,124,8,8.86,1,175.0
74,4,10.0,20,2,7.4,175,101,6,10.1,1,175.0
104,5,15.0,20,2,6.93,175,71,5,14.2,1,175.0
175,7,20.0,20,2,8.75,175,0,3,0.0,1,175.0
29,0,6.0,20,1,4.83,0,0,10,0.0,0,100.0
60,0,10.0,20,1,6.0,0,0,10,0.0,0,126.0
97,2,15.0,20,1,6.47,0,0,8,0.0,0,128.0
145,7,20.0,20,1,7.25,0,0,3,0.0,0,145.0
36,2,6.0,20,2,6.0,146,110,8,7.86,1,146.0
67,3,10.0,20,2,6.7,146,79,7,7.9,1,146.0
90,5,15.0,20,2,6.0,146,56,5,11.2,1,146.0
146,5,20.0,20,2,7.3,146,0,5,0.0,1,146.0
26,2,6.0,20,1,4.33,0,0,8,0.0,0,100.0
57,2,10.0,20,1,5.7,0,0,8,0.0,0,107.0
93,3,15.0,20,1,6.2,0,0,7,0.0,0,119.0
147,8,20.0,20,1,7.35,0,0,2,0.0,0,147.0
44,1,6.0,20,2,7.33,148,104,9,7.43,1,148.0
72,2,10.0,20,2,7.2,148,76,8,7.6,1,148.0
114,2,15.0,20,2,7.6,148,34,8,6.8,1,148.0
148,3,20.0,20,2,7.4,148,0,7,0.0,1,148.0
36,2,6.0,20,1,6.0,0,0,8,0.0,0,103.0
56,3,10.0,20,1,5.6,0,0,7,0.0,0,100.0
92,7,15.0,20,1,6.13,0,0,3,0.0,0,110.0
122,9,20.0,20,1,6.1,0,0,1,0.0,0,122.0
39,0,6.0,20,2,6.5,123,84,10,6.0,1,123.0
79,0,10.0,20,2,7.9,123,44,10,4.4,1,123.0
117,1,15.0,20,2,7.8,123,6,9,1.2,1,123.0
126,1,20.0,20,2,6.3,123,0,9,0.0,1,123.0
51,0,6.0,20,1,8.5,0,0,10,0.0,1,170.0
